date,ville,produit,prix
2025-01-01,Rabat,Ordinateur,7000.0
2025-01-01,Marrakech,Imprimante,3000.0
2025-01-01,Fes,Ecran,1500.0
2025-01-01,Casa,Système,500.0
2025-01-02,Casa,Antivirus,400.0
2025-01-02,Rabat,Ordinateur,9000.0
2025-01-02,Marrakech,Ordinateur,13000.0
2025-01-02,Tanger,Imprimante,3500.0
2025-01-03,Fes,Ordinateur,11000.0
2025-01-03,Rabat,Ordinateur,5000.0
2025-01-03,Tanger,Ordinateur,8500.0
2025-01-03,Rabat,Antivirus,500.0
2025-01-03,Rabat,Imprimante,5500.0
2025-01-03,Fes,Ordinateur,10000.0
2025-01-03,Casa,Ordinateur,12500.0
2025-01-03,Marrakech,Antivirus,600.0
2025-01-03,Tanger,Imprimante,4000.0
2025-01-03,Rabat,Ecran,1500.0
2025-01-04,Fes,Ordinateur,6500.0
2025-01-04,Marrakech,Ordinateur,9000.0
2025-01-04,Rabat,Antivirus,700.0
2025-01-04,Fes,Ordinateur,9500.0
2025-01-04,Fes,Ordinateur,17000.0
2025-01-04,Rabat,Imprimante,3000.0
2025-01-04,Marrakech,Ordinateur,14000.0
2025-01-04,Tanger,Ordinateur,3500.0
2025-01-04,Tanger,Antivirus,500.0
2025-01-04,Casa,Ecran,2000.0
2025-01-04,Casa,Ordinateur,8000.0
2025-01-04,Marrakech,Ordinateur,7000.0
2025-01-04,Rabat,Ordinateur,20000.0
2025-01-04,Casa,Ecran,5000.0
2025-01-04,Rabat,Ordinateur,17000.0
2025-01-04,Fes,Ecran,1000.0
2025-01-04,Casa,Ordinateur,5500.0
2025-01-04,Rabat,Ecran,500.0
2025-01-04,Casa,Ordinateur,6000.0
2025-01-04,Fes,Ordinateur,7000.0
2025-01-04,Casa,Ecran,700.0
2025-01-04,Marrakech,Ordinateur,10000.0
2025-01-05,Rabat,Ordinateur,13000.0
2025-01-05,Rabat,Ecran,4000.0
2025-01-05,Marrakech,Ordinateur,11000.0
2025-01-05,Fes,Ordinateur,16000.0
2025-01-05,Marrakech,Imprimante,2000.0
2025-01-05,Rabat,Ordinateur,4500.0
2025-01-05,Rabat,Ordinateur,4000.0
2025-01-05,Marrakech,Imprimante,9000.0
2025-01-06,Rabat,Ordinateur,7000.0
2025-01-06,Marrakech,Ordinateur,4000.0
2025-01-06,Tanger,Ordinateur,8500.0
2025-01-06,Rabat,Antivirus,500.0
2025-01-06,Rabat,Imprimante,5500.0
2025-01-06,Fes,Ordinateur,10000.0
2025-01-06,Casa,Ordinateur,12500.0
2025-01-06,Tanger,Ordinateur,8500.0
2025-01-07,Rabat,Antivirus,500.0
2025-01-07,Rabat,Imprimante,5500.0
2025-01-07,Fes,Ordinateur,10000.0
2025-01-08,Casa,Ordinateur,12500.0
2025-01-08,Marrakech,Antivirus,600.0
2025-01-08,Tanger,Imprimante,4000.0
2025-01-09,Rabat,Ecran,1500.0
2025-01-09,Fes,Ordinateur,6500.0
2025-01-09,Marrakech,Ordinateur,9000.0
2025-01-10,Rabat,Antivirus,700.0
2025-01-10,Fes,Ordinateur,9500.0
2025-01-11,Fes,Ordinateur,17000.0
2025-01-11,Rabat,Imprimante,3000.0
2025-01-11,Marrakech,Ordinateur,14000.0
2025-01-11,Tanger,Ordinateur,3500.0
2025-01-11,Tanger,Antivirus,500.0
2025-01-11,Casa,Ecran,2000.0
2025-01-1,Casa,Ordinateur,8000.0
2025-01-11,Marrakech,Ordinateur,7000.0
2025-01-11,Rabat,Ordinateur,20000.0
2025-01-11,Casa,Ecran,5000.0
2025-01-11,Rabat,Ordinateur,17000.0
2025-01-11,Fes,Ecran,1000.0
2025-01-11,Casa,Ordinateur,5500.0
2025-01-12,Rabat,Ecran,500.0
2025-01-12,Casa,Ordinateur,6000.0
2025-01-12,Fes,Ordinateur,7000.0
2025-01-12,Casa,Ecran,700.0
2025-01-12,Marrakech,Ordinateur,10000.0
2025-01-12,Rabat,Ordinateur,13000.0
2025-01-12,Rabat,Ecran,4000.0
2025-01-13,Marrakech,Ordinateur,11000.0
2025-01-13,Fes,Ordinateur,16000.0
2025-01-13,Marrakech,Antivirus,600.0
2025-01-13,Tanger,Imprimante,4000.0
2025-01-13,Rabat,Ecran,1500.0
2025-01-14,Fes,Ordinateur,6500.0
2025-01-14,Marrakech,Ordinateur,9000.0
2025-01-14,Rabat,Antivirus,700.0
2025-01-15,Fes,Ordinateur,9500.0
2025-01-15,Fes,Ordinateur,17000.0
2025-01-15,Rabat,Imprimante,3000.0
2025-01-15,Marrakech,Ordinateur,14000.0
2025-01-15,Tanger,Ordinateur,3500.0
2025-01-15,Tanger,Antivirus,500.0
2025-01-15,Casa,Ecran,2000.0
2025-01-16,Casa,Ordinateur,8000.0
2025-01-16,Marrakech,Ordinateur,7000.0
2025-01-16,Rabat,Ordinateur,20000.0
2025-01-17,Casa,Ecran,5000.0
2025-01-17,Rabat,Ordinateur,17000.0
2025-01-17,Fes,Ecran,1000.0
2025-01-17,Casa,Ordinateur,5500.0
2025-01-17,Tanger,Ordinateur,8500.0
2025-01-18,Rabat,Antivirus,500.0
2025-01-18,Rabat,Imprimante,5500.0
2025-01-18,Fes,Ordinateur,10000.0
2025-01-18,Casa,Ordinateur,12500.0
2025-01-19,Marrakech,Antivirus,600.0
2025-01-19,Tanger,Imprimante,4000.0
2025-01-19,Rabat,Ecran,1500.0
2025-01-19,Fes,Ordinateur,6500.0
2025-01-19,Marrakech,Ordinateur,9000.0
2025-01-19,Rabat,Antivirus,700.0
2025-01-19,Fes,Ordinateur,9500.0
2025-01-20,Fes,Ordinateur,17000.0
2025-01-20,Rabat,Imprimante,3000.0
2025-01-20,Marrakech,Ordinateur,14000.0
2025-01-20,Tanger,Ordinateur,3500.0
2025-01-20,Tanger,Antivirus,500.0
2025-01-20,Casa,Ecran,2000.0
